
Case ID, Description, Status, Impact, Assigned Group, Assigned Individual, Age, Create Date
"0138433809","AMS_ DE-Ad-Appeal","Pending Requester Info - Re-assign Correspondence","3","Sponsored Products EU","SP-EU-business-oncall","7","2018-01-24 02:39:33AM GMT-0800"
"0138428321","Bid+ will not activate on vendors account /  Case ID:4240606752","Pending Requester Info - 3 Day Auto Resolve","3","Sponsored Products EU","SP-EU-business-oncall","7","2018-01-24 01:40:33AM GMT-0800"
"0138174357","AMS_Non-English_DE-Bid +","Pending Requester Info - 3 Day Auto Resolve","4","Sponsored Products EU","SP-EU-business-oncall","9","2018-01-22 02:31:42AM GMT-0800"
"0138171830","case 4237147082 + 4088987062 / TT 0136705098 / AMZ Store page wrong entity","Pending Requester Info - Re-assign Correspondence","5","Sponsored Products EU","SP-EU-business-oncall","9","2018-01-22 01:56:23AM GMT-0800"
"0138156871","Brand Registry Stores and HSA --> *Do Not Edit* No access to brand.  Case ID:4236909862|Seller ID:8443972725","Pending Requester Info - Re-assign Correspondence","3","Sponsored Products EU","SP-EU-business-oncall","10","2018-01-21 11:42:12PM GMT-0800"
"0138046656","*911* Seller 911 Contact FR: Shoppers cannot find Amazon Stores by-line - Case 4234252832","Pending Requester Info - Re-assign Correspondence","3","Sponsored Products EU","SP-EU-business-oncall","11","2018-01-20 04:10:17AM GMT-0800"
"0138016716","**911 seller**911 seller contact** Issue with Buybox, Case ID:4233589132|Seller ID:15141928012","Pending Requester Info - Re-assign Correspondence","3","Sponsored Products EU","SP-EU-business-oncall","12","2018-01-19 05:33:10PM GMT-0800"
"0137976568"," Case ID:4234343842|Seller ID:661205312 - Promotion not applied in UK","Pending Pending Info - 3 Day Auto Re-assign","3","Sponsored Products EU","SP-EU-business-oncall","12","2018-01-19 09:03:33AM GMT-0800"
"0137963314","TAM-SP-Case Assist  Bulk file download and upload issue with umlauts ","Pending Requester Info - Re-assign Correspondence","3","Sponsored Products EU","vivkr","12","2018-01-19 06:09:37AM GMT-0800"
"0137937857","Data in Reports does not Match Campaign Data (Gesamtverk&auml;ufe AMS) - case 4233703152","Pending Related Item","5","Sponsored Products EU","SP-EU-business-oncall","12","2018-01-19 01:26:07AM GMT-0800"
"0137937064","Brand not appearing for HSA","Pending Requester Info - 3 Day Auto Resolve","3","Sponsored Products EU","vivkr","12","2018-01-19 01:19:01AM GMT-0800"
"0137709916","campaign pause as they no longer own the brand Zhelar - vendor claims it is not true","Pending Requester Info - 7 Day Auto Resolve","3","Sponsored Products EU","SP-EU-business-oncall","14","2018-01-17 05:46:33AM GMT-0800"
"0137702570","No impressions on product","Pending Requester Info - Re-assign Correspondence","3","Sponsored Products EU","vivkr","14","2018-01-17 04:48:31AM GMT-0800"
"0137441880","TAM-SP-Case Assist keyword umlauts issues   Case ID:4199081722|Seller ID:10729548925","Pending Related Item","3","Sponsored Products EU","SP-EU-business-oncall","16","2018-01-15 03:06:19AM GMT-0800"
"0137436764","*911* Seller 911 Contact TAM-SP-Case Assist <--Do Not Edit   Case ID:4225933082|Seller ID:21139501325","Pending Related Item","3","Sponsored Products EU","SP-EU-business-oncall","16","2018-01-15 01:59:25AM GMT-0800"
"0137245858","Yello Strom CID 6514776912 - Use of Alexa Echo Keywords","Pending Requester Info - Re-assign Correspondence","3","Sponsored Products EU","SP-EU-business-oncall","19","2018-01-12 08:27:48AM GMT-0800"
"0137087904","*911* Seller 911 Contact TAM-SP-Case Assist <--Do Not Edit ","Pending Requester Info - Re-assign Correspondence","3","Sponsored Products EU","SP-EU-business-oncall","20","2018-01-11 02:17:25AM GMT-0800"
"0137008602","*911* Seller 911 Contact  No access to brand. Another brand claimed ownership on the products for this brand.   Case ID:4218608322|Seller ID:5164571212","Pending Requester Info - Re-assign Correspondence","3","Sponsored Products EU","SP-EU-business-oncall","21","2018-01-10 11:09:58AM GMT-0800"
"0136994865","Seller can't add keywords to campaign","Pending Related Item","3","Sponsored Products EU","SP-EU-business-oncall","21","2018-01-10 09:30:28AM GMT-0800"
"0136956678","Case ID:4214295832|Seller ID:5483118612 STORES","Pending Pending Info - 3 Day Auto Re-assign","3","Sponsored Products EU","SP-EU-business-oncall","21","2018-01-10 04:10:45AM GMT-0800"
"0136957384","*911* Seller 911 Contact TAM-SP-Case Assist --> *Do Not Edit* [885957883]","Pending Requester Info - Re-assign Correspondence","3","Sponsored Products EU","SP-EU-business-oncall","21","2018-01-10 04:07:07AM GMT-0800"
"0136956302","Case ID:4214380812|Seller ID:835961433 Stores Byline and Short URL","Pending Requester Info - Re-assign Correspondence","3","Sponsored Products EU","SP-EU-business-oncall","21","2018-01-10 03:13:26AM GMT-0800"
"0136950954","Negative keywords","Pending Requester Info - Re-assign Correspondence","3","Sponsored Products EU","SP-EU-business-oncall","21","2018-01-10 02:48:30AM GMT-0800"
"0136939620"," Case ID:4186869602|Seller ID:20356219325","Pending Requester Info - Re-assign Correspondence","5","Sponsored Products EU","SP-EU-business-oncall","21","2018-01-10 12:36:28AM GMT-0800"
"0136816685"," Case ID:4141330242|Seller ID:13623073935","Pending Requester Info - Re-assign Correspondence","5","Sponsored Products EU","SP-EU-business-oncall","22","2018-01-09 02:09:26AM GMT-0800"
"0136728074","*911* Seller 911 Contact Case ID:4214398362|Seller ID:660962312","Pending Requester Info - 3 Day Auto Resolve","3","Sponsored Products EU","SP-EU-business-oncall","23","2018-01-08 09:20:34AM GMT-0800"
"0136713177","HSA campaigns were paused","Pending Requester Info - Re-assign Correspondence","3","Sponsored Products EU","SP-EU-business-oncall","23","2018-01-08 06:38:11AM GMT-0800"
"0136698065","TAM-SP-Case Assist General Question regarding Guild Products ","Pending Requester Info - Re-assign Correspondence","3","Sponsored Products EU","SP-EU-business-oncall","23","2018-01-08 03:50:42AM GMT-0800"
"0136517320"," Case ID:4208175392|Seller ID:7078860225","Pending Requester Info - Re-assign Correspondence","3","Sponsored Products EU","SP-EU-business-oncall","26","2018-01-05 12:52:05PM GMT-0800"
"0136513786","TAM-SP-Case Assist Brand Store - Brand issue in connection with AMS","Pending Requester Info - Re-assign Correspondence","3","Sponsored Products EU","SP-EU-business-oncall","26","2018-01-05 12:51:56PM GMT-0800"
"0136477713","Some ASINs not eligible for HSA as closed GL","Pending Requester Info - Re-assign Correspondence","3","Sponsored Products EU","SP-EU-business-oncall","26","2018-01-05 05:11:49AM GMT-0800"
"0136474273","TAM-SP Case ID:4208757482|Seller ID:20022232935 - Unable to add a specific keyword","Pending Related Item","3","Sponsored Products EU","SP-EU-business-oncall","26","2018-01-05 05:02:19AM GMT-0800"
"0136471382"," Case ID:4198947282|Seller ID:13984611335","Pending Related Item","3","Sponsored Products EU","SP-EU-business-oncall","26","2018-01-05 04:41:31AM GMT-0800"
"0136470520","TAM-SP-Case Assist  Case ID:4111160612|Seller ID:495808353  Could not load products at this time. Try again later.","Pending Requester Info - Re-assign Correspondence","3","Sponsored Products EU","SP-EU-business-oncall","26","2018-01-05 03:54:14AM GMT-0800"
"0136450926","TAM-SP-Case Assist <--Do Not Edit 4174308652","Pending Requester Info - Re-assign Correspondence","4","Sponsored Products EU","SP-EU-business-oncall","26","2018-01-05 12:13:21AM GMT-0800"
"0136329207","*911* Seller 911 Contact TAM-SP-Case Assist <--Do Not Edit  Case ID:4206634792|Seller ID:17586703235","Pending Related Item","3","Sponsored Products EU","SP-EU-business-oncall","28","2018-01-03 11:40:27PM GMT-0800"
"0136323980","*911* Seller 911 Contact TAM-Case Assist <--Do Not Edit [4206623442]","Pending Related Item","3","Sponsored Products EU","SP-EU-business-oncall","28","2018-01-03 11:04:11PM GMT-0800"
"0136241917","*911* Seller 911 Contact TAM-SP-Case Assist - Placement and keyword issues","Pending Requester Info - Re-assign Correspondence","3","Sponsored Products EU","SP-EU-business-oncall","28","2018-01-03 06:22:17AM GMT-0800"
"0136227806","*911* Seller 911 Contact TAM-SP-Case Assist <--Do Not Edit  Case ID:4205184132|Seller ID:9157231912","Pending Related Item","3","Sponsored Products EU","SP-EU-business-oncall","28","2018-01-03 03:27:49AM GMT-0800"
"0136148596","*911* Seller 911 Contact TAM Case Assist --> *Do Not Edit* [4204240572]","Pending Requester Information","3","Sponsored Products EU","SP-EU-business-oncall","29","2018-01-02 11:19:20AM GMT-0800"
"0135964809","Stores Case Assist --> *Do Not Edit* 4197661802","Pending Requester Info - Re-assign Correspondence","3","Sponsored Products EU","SP-EU-business-oncall","32","2017-12-30 01:38:11PM GMT-0800"
"0135894607","HSA ASIN Picker Issue ","Pending Requester Info - Re-assign Correspondence","3","Sponsored Products EU","SP-EU-business-oncall","33","2017-12-29 10:50:23AM GMT-0800"
"0135756288","*911* Seller 911 Contact Spads invalid clicks ","Pending Requester Info - Re-assign Correspondence","3","Sponsored Products EU","SP-EU-business-oncall","34","2017-12-28 03:38:38AM GMT-0800"
"0135592468"," Case ID:4193304372|Seller ID:11771332012","Pending Requester Info - Re-assign Correspondence","3","Sponsored Products EU","SP-EU-business-oncall","36","2017-12-26 12:42:21PM GMT-0800"
"0135314340","*911* Seller 911 Contact  brand Link products using the brand registry. Case ID:4137583422|Seller ID:2080026901(brand registry)","Pending Requester Info - Re-assign Correspondence","3","Sponsored Products EU","SP-EU-business-oncall","40","2017-12-22 04:43:31AM GMT-0800"
"0135300987","ORG: FR - Listing with buy box are not eligible to sponsoring ads - Case 4154991512","Pending Requester Info - Re-assign Correspondence","3","Sponsored Products EU","SP-EU-business-oncall","40","2017-12-22 02:24:48AM GMT-0800"
"0135242757","[Amazon Stores for Sellers] Seller brand entity has ""No products listed"" due to missing node","Pending Requester Info - Re-assign Correspondence","3","Sponsored Products EU","SP-EU-business-oncall","41","2017-12-21 01:23:24PM GMT-0800"
"0135216182","Budget overspent","Pending Requester Info - Re-assign Correspondence","3","Sponsored Products EU","SP-EU-business-oncall","41","2017-12-21 08:47:02AM GMT-0800"
"0135176530","HSA campaign can't be created, white selection if clicked on the brand selection.  Case ID:4186857212|Seller ID:20356219325","Pending Requester Info - Re-assign Correspondence","5","Sponsored Products EU","SP-EU-business-oncall","41","2017-12-21 01:55:49AM GMT-0800"
"0135155007","[Amazon Stores for Sellers] Seller is unable to create an Amazon store for his brand ""Golder"" as he is receiving an error message","Pending Requester Info - 7 Day Auto Resolve","4","Sponsored Products EU","SP-EU-business-oncall","42","2017-12-20 10:13:28PM GMT-0800"
"0135076431","Invalid clicks query","Pending Requester Info - Re-assign Correspondence","3","Sponsored Products EU","SP-EU-business-oncall","42","2017-12-20 07:04:58AM GMT-0800"
"0135012381"," Case ID:4182778302|Seller ID:8897644212  seller is unable to login into Amazon Marketing Services portal. ","Pending Requester Info - Re-assign Correspondence","5","Sponsored Products EU","SP-EU-business-oncall","43","2017-12-19 08:16:16PM GMT-0800"
"0134961653"," Advertising Report","Pending Requester Info - Re-assign Correspondence","3","Sponsored Products EU","SP-EU-business-oncall","43","2017-12-19 10:04:51AM GMT-0800"
"0134924271","TAM-SP-Case Assist < info on HP inconsistent . need details reagrding HSA","Pending Partner Information","3","Sponsored Products EU","SP-EU-business-oncall","43","2017-12-19 04:02:10AM GMT-0800"
"0134810760","Stores Case Assist --> *Do Not Edit* [Case ID 4162073092] ","Pending Requester Info - Re-assign Correspondence","3","Sponsored Products EU","SP-EU-business-oncall","44","2017-12-18 07:25:56AM GMT-0800"
"0134808550","TAM-SP-Case Assist --> *Do Not Edit* [4107193232]","Pending Requester Info - Re-assign Correspondence","3","Sponsored Products EU","SP-EU-business-oncall","44","2017-12-18 07:10:15AM GMT-0800"
"0134730561","TAM-SP-Case Assist --> *Do Not Edit* [4132121612]","Pending Requester Info - Re-assign Correspondence","3","Sponsored Products EU","SP-EU-business-oncall","45","2017-12-17 12:54:20PM GMT-0800"
"0134547174"," Case ID:4171903742|Seller ID:9649267335 The Seller's ASIN are not appearing in the search for their HSA","Pending Requester Info - Re-assign Correspondence","3","Sponsored Products EU","SP-EU-business-oncall","47","2017-12-15 03:10:16AM GMT-0800"
"0134543379","URL Stores request","Pending Requester Info - Re-assign Correspondence","3","Sponsored Products EU","SP-EU-business-oncall","47","2017-12-15 02:26:04AM GMT-0800"
"0134440724","*911* Seller 911 Contact  Case ID:4173984502|Seller ID:742196992 The Seller's HSA search feature is showing mixed up Brand ASIN","Pending Requester Info - Re-assign Correspondence","3","Sponsored Products EU","SP-EU-business-oncall","48","2017-12-14 06:45:39AM GMT-0800"
"0134323960","Migrate byline from Pages to Stores for Orofluido brands","Pending Related Item","3","Sponsored Products EU","SP-EU-business-oncall","49","2017-12-13 09:47:40AM GMT-0800"
"0134311640","Case ID:4166089012|Seller ID:9964573225","Pending Requester Info - Re-assign Correspondence","3","Sponsored Products EU","SP-EU-business-oncall","49","2017-12-13 07:49:37AM GMT-0800"
"0134297387","Headline Search for Sellers - Seller cannot select products in campaign creation","Pending Requester Info - Re-assign Correspondence","3","Sponsored Products EU","SP-EU-business-oncall","49","2017-12-13 05:53:53AM GMT-0800"
"0134269804","*911* Seller 911 Contact Stores Case Assist -->   Case ID:4167173812|Seller ID:1134207142","Pending Requester Info - Re-assign Correspondence","3","Sponsored Products EU","SP-EU-business-oncall","49","2017-12-13 12:51:07AM GMT-0800"
"0134134270","*911* Seller 911 Contact Stores brand ownership error","Pending Requester Info - 7 Day Auto Resolve","3","Sponsored Products EU","SP-EU-business-oncall","50","2017-12-12 01:23:20AM GMT-0800"
"0133990818"," Case ID:4163642902|Seller ID:787268492, Marketplace:3, Concern : Error while creating advertising products.","Pending Requester Info - Re-assign Correspondence","5","Sponsored Products EU","SP-EU-business-oncall","52","2017-12-10 11:21:29PM GMT-0800"
"0133765199","TAM-SP-Case Assist HSA campaign issue with ASIN B075LZDM6D","Pending Related Item","3","Sponsored Products EU","SP-EU-business-oncall","54","2017-12-08 03:28:03AM GMT-0800"
"0133623538","TAM-SP-Case Assist < invoice for Feb  2017 missing","Pending Requester Info - Re-assign Correspondence","3","Sponsored Products EU","SP-EU-business-oncall","55","2017-12-07 12:56:20AM GMT-0800"
"0133516561","*911* Seller 911 Contact  Case ID:4157063672|Seller ID:14064840712","Pending Requester Info - Re-assign Correspondence","3","Sponsored Products EU","SP-EU-business-oncall","56","2017-12-06 05:21:54AM GMT-0800"
"E032913373","advertising issue    Case ID:4156249702|Seller ID:6963135725","Pending Requester Info - Re-assign Correspondence","3","Sponsored Products EU","SP-EU-business-oncall","57","2017-12-05 01:29:39PM GMT-0800"
"0133415743","Seller Product Search Issue: Seller can't create a Store","Pending Requester Info - Re-assign Correspondence","4","Sponsored Products EU","SP-EU-business-oncall","57","2017-12-05 11:40:33AM GMT-0800"
"0133258618","Ad Operations|Query  on July: Flagged AMS invoice - Reckitt","Pending Requester Info - Re-assign Correspondence","5","Sponsored Products EU","SP-EU-business-oncall","58","2017-12-04 09:47:11AM GMT-0800"
"0133214156","Case ID:4105368412|Seller ID:18507710935, Marketplace :3, Concern : Seller wants to ask how they can apply for this offer wherein sellers have received a refund of the advertising costs. They want to know, that if their shop is also eligible, then what","Pending Requester Info - Re-assign Correspondence","5","Sponsored Products EU","SP-EU-business-oncall","58","2017-12-04 02:24:01AM GMT-0800"
"0133127352","Contact TAM-SP-Case Assist Brand Store - ASIN Issues","Pending Requester Info - Re-assign Correspondence","3","Sponsored Products EU","SP-EU-business-oncall","59","2017-12-03 12:36:54AM GMT-0800"
"0133009227","*911* Seller 911 Contact  Case ID:4149556212|Seller ID:4185230912","Pending Requester Info - Re-assign Correspondence","4","Sponsored Products EU","SP-EU-business-oncall","61","2017-12-01 10:15:51AM GMT-0800"
"0132989902","Issue with brand in HSA","Pending Related Item","5","Sponsored Products EU","SP-EU-business-oncall","61","2017-12-01 07:02:34AM GMT-0800"
"0132847749","tech error in hsa","Pending Requester Info - Re-assign Correspondence","5","Sponsored Products EU","SP-EU-business-oncall","62","2017-11-30 04:10:29AM GMT-0800"
"0132620983","Seller unable to create Store / UK3 / Case Id 4137653962","Pending Requester Info - Re-assign Correspondence","4","Sponsored Products EU","SP-EU-business-oncall","64","2017-11-28 10:26:43AM GMT-0800"
"0132577677","AMS_Non-English_ES:  byline to store. Hasbro","Pending Related Item","3","Sponsored Products EU","SP-EU-business-oncall","64","2017-11-28 03:14:03AM GMT-0800"
"0132362553"," Case ID:4134432992|Seller ID:17381496625 Ad showing incorrect Title","Pending Requester Info - Re-assign Correspondence","3","Sponsored Products EU","SP-EU-business-oncall","66","2017-11-26 04:59:55AM GMT-0800"
"0132351652","Spoofer details required: Skyland vs Dentjet","Pending Requester Info - Re-assign Correspondence","5","Sponsored Products EU","SP-EU-business-oncall","66","2017-11-26 12:17:01AM GMT-0800"
"0132267820"," Case ID:4128821682|Seller ID:18218035925","Pending Requester Info - Re-assign Correspondence","3","Sponsored Products EU","SP-EU-business-oncall","68","2017-11-24 05:03:45PM GMT-0800"
"0132238108","*911* Seller 911 Contact  Case ID:4113047472|Seller ID:16260185435 Seller cannot find their BR ASIN in HSA feature","Pending Requester Info - Re-assign Correspondence","3","Sponsored Products EU","SP-EU-business-oncall","68","2017-11-24 09:11:57AM GMT-0800"
"0132209986","TAM-SP-Case Assist <--Do Not Edit ","Pending Requester Info - Re-assign Correspondence","4","Sponsored Products EU","SP-EU-business-oncall","68","2017-11-24 03:52:37AM GMT-0800"
"0132203238","*911* Seller 911 Contact  Case ID:4131927762 Seller ID:21121731225 Seller cannot find ASIN for their BR Brand ""PUSHIDUN"" in Store ""No products listed.""","Pending Requester Info - Re-assign Correspondence","3","Sponsored Products EU","sankarm","68","2017-11-24 02:05:51AM GMT-0800"
"0132138915","[Amazon Stores for Sellers] Seller brand entity has ""No products listed"" due to missing node","Pending Requester Info - Re-assign Correspondence","4","Sponsored Products EU","SP-EU-business-oncall","69","2017-11-23 07:50:17AM GMT-0800"
"0131902377"," Case ID:4124792872|Seller ID:12417129025, Marketplace :3, Concern : Seller is stating that he is unable to find his automatic campaign on the website.","Pending Requester Info - Re-assign Correspondence","5","Sponsored Products EU","SP-EU-business-oncall","71","2017-11-21 12:33:48PM GMT-0800"
"0131818327","*911* Seller 911 Contact TAM-SP-Case Assist <--Do Not Edit  Case ID:4122781962|Seller ID:462774712","Pending Related Item","3","Sponsored Products EU","SP-EU-business-oncall","72","2017-11-20 11:30:05PM GMT-0800"
"0131814545","Redirect the brand name towards AMS Brand page","Pending Related Item","4","Sponsored Products EU","dimitrih","72","2017-11-20 11:00:40PM GMT-0800"
"0131789207","Seller Brand Not Available for Headline Search Ads;  Case ID:4115916292|Seller ID:871416403","Pending Requester Info - Re-assign Correspondence","4","Sponsored Products EU","SP-EU-business-oncall","72","2017-11-20 05:49:34PM GMT-0800"
"0131725927","*911* Seller 911 Contact seller cannot create hsa ","Pending Related Item","3","Sponsored Products EU","SP-EU-business-oncall","72","2017-11-20 07:24:30AM GMT-0800"
"0131720233","Seller's campaign out of budget ","Pending Requester Info - Re-assign Correspondence","5","Sponsored Products EU","sankarm","72","2017-11-20 06:29:23AM GMT-0800"
"0131712402","Seller's campaign out of budget ","Pending Requester Info - Re-assign Correspondence","5","Sponsored Products EU","sankarm","72","2017-11-20 04:59:22AM GMT-0800"
"0131702865","Seller unable to create HSA campaigns and Store due to brand not being selectable 4120715502|Seller ID:7899175812","Pending Related Item","3","Sponsored Products EU","SP-EU-business-oncall","72","2017-11-20 03:36:01AM GMT-0800"
"0131568789","[Amazon Stores for Sellers] Seller brand entity has ""No products listed"" due to missing node","Pending Requester Info - Re-assign Correspondence","4","Sponsored Products EU","SP-EU-business-oncall","74","2017-11-18 10:11:57AM GMT-0800"
"0131319648","[Amazon Stores for Sellers] Seller brand entity has ""No products listed"" due to missing node BRS Case ID 4115350082","Pending Related Item","4","Sponsored Products EU","SP-EU-business-oncall","76","2017-11-16 05:30:53AM GMT-0800"
"0131310893","Migrate byline from Arborist to Stores for Mayborn (Tommee Tippee) JACU4","Pending Requester Info - Re-assign Correspondence","4","Sponsored Products EU","SP-EU-business-oncall","76","2017-11-16 04:20:58AM GMT-0800"
"0131188444","Migrate byline from Pages to Stores for &lt;insert Name and Entity ID here&gt;","Pending Requester Info - Re-assign Correspondence","3","Sponsored Products EU","SP-EU-business-oncall","77","2017-11-15 08:03:57AM GMT-0800"
"0131186855","Migrate byline from Pages to Stores for &lt;insert Name and Entity ID here&gt;","Pending Requester Info - Re-assign Correspondence","3","Sponsored Products EU","SP-EU-business-oncall","77","2017-11-15 08:00:31AM GMT-0800"
"0131030167"," Case ID:4108095262|Seller ID:540858863, Marketplace : 3, Issue: seller is unable to submit headline ads","Pending Requester Info - Re-assign Correspondence","5","Sponsored Products EU","SP-EU-business-oncall","78","2017-11-14 06:24:31AM GMT-0800"
"0130881751","All SP campaigns down due to billing issue","Pending Requester Info - Re-assign Correspondence","4","Sponsored Products EU","SP-EU-business-oncall","79","2017-11-13 06:00:58AM GMT-0800"
"0130876353","Incorrect information showing up","Pending Related Item","3","Sponsored Products EU","SP-EU-business-oncall","79","2017-11-13 05:02:10AM GMT-0800"
"0130638984","[WhereIsMyAd] investigation request","Pending Related Item","4","Sponsored Products EU","SP-EU-business-oncall","82","2017-11-10 10:59:07AM GMT-0800"
"0130515732","TAM-SP-Case Assist - Payment error (American Express)","Pending Requester Info - Re-assign Correspondence","3","Sponsored Products EU","SP-EU-business-oncall","83","2017-11-09 12:30:41PM GMT-0800"
"0130503557","TAM-SP-Case Assist - Question about Sponsered products credit","Pending Requester Info - Re-assign Correspondence","3","Sponsored Products EU","SP-EU-business-oncall","83","2017-11-09 10:47:40AM GMT-0800"
"0130449872"," Case ID:4094510982|Seller ID:10752028325","Pending Requester Info - Re-assign Correspondence","3","Sponsored Products EU","SP-EU-business-oncall","83","2017-11-09 02:47:21AM GMT-0800"
"0129646180","TAM-SP-Case Assist --> *Do Not Edit* [4071476812]","Pending External Information","3","Sponsored Products EU","dimitrih","90","2017-11-02 01:06:33PM GMT-0700"
"0129644840","TAM-SP-Case Assist --> *Do Not Edit* [4081469642]","Pending Requester Info - Re-assign Correspondence","3","Sponsored Products EU","SP-EU-business-oncall","90","2017-11-02 12:30:20PM GMT-0700"
"0129638008","Concern : seller unable to view campaigns","Pending Requester Info - Re-assign Correspondence","5","Sponsored Products EU","SP-EU-business-oncall","90","2017-11-02 11:07:08AM GMT-0700"
"0129457154","Case ID:4084636482|Seller ID:20282145725","Pending Requester Info - Re-assign Correspondence","3","Sponsored Products EU","SP-EU-business-oncall","91","2017-11-01 02:48:30AM GMT-0700"
